Date,KODEX30
"Nov 01, 2016",-0.0031
"Nov 02, 2016",-0.0128
"Nov 03, 2016",-0.0031
"Nov 04, 2016",-0.0043
"Nov 07, 2016",0.0174
"Nov 08, 2016",-0.0008
"Nov 09, 2016",-0.0233
"Nov 10, 2016",0.0211
"Nov 11, 2016",-0.0113
"Nov 14, 2016",-0.0079
"Nov 15, 2016",-0.0044
"Nov 16, 2016",0.0064
"Nov 17, 2016",-0.0016
"Nov 18, 2016",0.0012
"Nov 21, 2016",0.0028
"Nov 22, 2016",0.0087
"Nov 23, 2016",0.0074
"Nov 24, 2016",-0.0105
"Nov 25, 2016",0.0004
"Nov 28, 2016",0.0028
"Nov 29, 2016",-0.0016
"Nov 30, 2016",0.0012
"Dec 01, 2016",-0.0024
"Dec 02, 2016",-0.0094
"Dec 05, 2016",0.0024
"Dec 06, 2016",0.0095
"Dec 07, 2016",0
"Dec 08, 2016",0.0212
"Dec 09, 2016",0.0038
"Dec 12, 2016",0.0008
"Dec 13, 2016",-0.0015
"Dec 14, 2016",0.0011
"Dec 15, 2016",0.0054
"Dec 16, 2016",-0.0034
"Dec 19, 2016",0.0038
"Dec 20, 2016",-0.0049
"Dec 21, 2016",0.0073
"Dec 22, 2016",-0.0106
"Dec 23, 2016",0.0008
"Dec 26, 2016",-0.0019
"Dec 27, 2016",0.0031
"Dec 28, 2016",0.008
"Dec 29, 2016",0.0065
"Jan 02, 2017",0.0023
"Jan 03, 2017",0.0038
"Jan 04, 2017",0.0052
"Jan 05, 2017",-0.0004
"Jan 06, 2017",0
"Jan 09, 2017",-0.0004
"Jan 10, 2017",0.0004
"Jan 11, 2017",0.0172
"Jan 12, 2017",0.0062
"Jan 13, 2017",-0.0047
"Jan 16, 2017",-0.0007
"Jan 17, 2017",0.0015
"Jan 18, 2017",-0.0026
"Jan 19, 2017",0.0004
"Jan 20, 2017",-0.004
"Jan 23, 2017",-0.0055
"Jan 24, 2017",0.0007
"Jan 25, 2017",0.0026
"Jan 26, 2017",0.0074
"Jan 31, 2017",-0.0128
"Feb 01, 2017",0.0078
"Feb 02, 2017",-0.0041
"Feb 03, 2017",0.0007
"Feb 06, 2017",-0.0004
"Feb 07, 2017",0.0041
"Feb 08, 2017",-0.0052
"Feb 09, 2017",0.0041
"Feb 10, 2017",0.0041
"Feb 13, 2017",0
"Feb 14, 2017",-0.0055
"Feb 15, 2017",0.0066
"Feb 16, 2017",-0.0011
"Feb 17, 2017",0.0015
"Feb 20, 2017",-0.004
"Feb 21, 2017",0.011
"Feb 22, 2017",0.0015
"Feb 23, 2017",0.0069
"Feb 24, 2017",-0.0079
"Feb 27, 2017",-0.0025
"Feb 28, 2017",0.0004
"Mar 02, 2017",0.0084
"Mar 03, 2017",-0.0127
"Mar 06, 2017",-0.0011
"Mar 07, 2017",0.0073
"Mar 08, 2017",0.0033
"Mar 09, 2017",-0.0069
"Mar 10, 2017",0.004
"Mar 13, 2017",0.0051
"Mar 14, 2017",0.0072
"Mar 15, 2017",0.0047
"Mar 16, 2017",0.01
"Mar 17, 2017",0.006
"Mar 20, 2017",-0.0056
"Mar 21, 2017",0.0191
"Mar 22, 2017",-0.0073
"Mar 23, 2017",-0.0011
"Mar 24, 2017",-0.0011
"Mar 27, 2017",-0.0046
"Mar 28, 2017",-0.0011
"Mar 29, 2017",-0.0004
"Mar 30, 2017",0.0014
"Mar 31, 2017",0.0004
"Apr 03, 2017",0.0028
"Apr 04, 2017",-0.0063
"Apr 05, 2017",-0.0032
"Apr 06, 2017",-0.0032
"Apr 07, 2017",-0.0007
"Apr 10, 2017",-0.0082
"Apr 11, 2017",-0.0115
"Apr 12, 2017",0
"Apr 13, 2017",0.0105
"Apr 14, 2017",-0.0079
"Apr 17, 2017",0.0058
"Apr 18, 2017",-0.0025
