Date,Price,Open,High,Low,Change %
"Nov 01, 2019",1.714,1.689,1.745,1.67,1.54%
"Oct 31, 2019",1.688,1.775,1.791,1.681,-4.90%
"Oct 30, 2019",1.775,1.837,1.851,1.771,-3.38%
"Oct 29, 2019",1.837,1.851,1.86,1.823,-0.43%
"Oct 28, 2019",1.845,1.803,1.86,1.801,2.23%
"Oct 27, 2019",1.805,1.803,1.805,1.803,0.27%
"Oct 25, 2019",1.8,1.757,1.814,1.749,1.64%
"Oct 24, 2019",1.771,1.761,1.784,1.738,0.17%
"Oct 23, 2019",1.768,1.762,1.77,1.731,0.00%
"Oct 22, 2019",1.768,1.805,1.81,1.762,-1.94%
"Oct 21, 2019",1.803,1.74,1.805,1.738,3.64%
"Oct 20, 2019",1.74,1.741,1.741,1.74,-0.82%
"Oct 18, 2019",1.754,1.748,1.776,1.729,0.23%
"Oct 17, 2019",1.75,1.732,1.799,1.722,0.29%
"Oct 16, 2019",1.745,1.766,1.769,1.719,-1.47%
"Oct 15, 2019",1.771,1.713,1.778,1.675,3.26%
"Oct 14, 2019",1.715,1.712,1.717,1.712,-1.09%
"Oct 11, 2019",1.734,1.663,1.767,1.64,3.83%
"Oct 10, 2019",1.67,1.558,1.672,1.546,5.23%
"Oct 09, 2019",1.587,1.531,1.594,1.526,3.59%
"Oct 08, 2019",1.532,1.556,1.592,1.51,-2.11%
"Oct 07, 2019",1.565,1.515,1.566,1.505,3.28%
"Oct 06, 2019",1.515,1.52,1.52,1.515,-0.90%
"Oct 04, 2019",1.529,1.536,1.556,1.507,-0.33%
"Oct 03, 2019",1.534,1.592,1.599,1.509,-4.18%
"Oct 02, 2019",1.601,1.639,1.668,1.58,-2.08%
"Oct 01, 2019",1.635,1.67,1.757,1.613,-1.98%
"Sep 30, 2019",1.668,1.685,1.713,1.665,-0.92%
"Sep 29, 2019",1.684,1.684,1.684,1.684,-0.21%
"Sep 27, 2019",1.687,1.692,1.725,1.673,-0.59%
"Sep 26, 2019",1.697,1.727,1.727,1.675,-2.30%
"Sep 25, 2019",1.737,1.649,1.739,1.63,5.15%
"Sep 24, 2019",1.652,1.722,1.723,1.628,-4.12%
"Sep 23, 2019",1.723,1.737,1.767,1.664,0.09%
"Sep 22, 2019",1.722,1.722,1.722,1.722,0.00%
"Sep 20, 2019",1.722,1.781,1.794,1.716,-3.64%
"Sep 19, 2019",1.787,1.796,1.821,1.749,-0.72%
"Sep 18, 2019",1.8,1.805,1.819,1.744,-0.55%
"Sep 17, 2019",1.81,1.845,1.849,1.794,-1.79%
"Sep 16, 2019",1.843,1.899,1.899,1.814,-3.06%
"Sep 15, 2019",1.901,1.901,1.901,1.901,0.00%
"Sep 13, 2019",1.901,1.777,1.908,1.766,6.92%
"Sep 12, 2019",1.778,1.766,1.801,1.668,1.83%
"Sep 11, 2019",1.746,1.73,1.752,1.707,0.11%
"Sep 10, 2019",1.744,1.647,1.745,1.62,5.89%
"Sep 09, 2019",1.647,1.559,1.649,1.553,5.56%
"Sep 08, 2019",1.56,1.559,1.56,1.559,0.00%
