"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","25,350","25,450","25,600","25,300","672.82K","-0.39%"
"Oct 31, 2019","25,450","25,900","25,950","25,400","1.48M","-1.55%"
"Oct 30, 2019","25,850","25,350","25,950","25,200","1.99M","2.99%"
"Oct 29, 2019","25,100","25,300","25,400","25,050","1.15M","-0.59%"
"Oct 28, 2019","25,250","25,600","25,650","25,150","1.23M","-1.17%"
"Oct 25, 2019","25,550","25,400","25,550","25,250","630.48K","0.59%"
"Oct 24, 2019","25,400","25,450","25,500","25,250","1.30M","-0.39%"
"Oct 23, 2019","25,500","25,650","25,750","25,450","1.07M","-0.97%"
"Oct 22, 2019","25,750","25,750","26,000","25,600","923.02K","0.19%"
"Oct 21, 2019","25,700","25,900","25,950","25,600","706.94K","-0.77%"
"Oct 20, 2019","25,900","25,900","25,900","25,900","-","0.00%"
"Oct 18, 2019","25,900","26,350","26,500","25,800","727.00K","-1.52%"
"Oct 17, 2019","26,300","26,100","26,500","26,050","1.15M","0.96%"
"Oct 16, 2019","26,050","26,050","26,100","25,800","961.53K","0.97%"
"Oct 15, 2019","25,800","25,600","26,050","25,500","828.05K","0.98%"
"Oct 14, 2019","25,550","25,450","25,650","25,300","733.86K","0.99%"
"Oct 11, 2019","25,300","25,800","25,950","25,250","1.03M","-1.17%"
"Oct 10, 2019","25,600","25,500","26,000","25,450","1.89M","0.59%"
"Oct 09, 2019","25,450","25,450","25,450","25,450","-","0.00%"
"Oct 08, 2019","25,450","25,200","25,550","25,100","821.97K","0.99%"
"Oct 07, 2019","25,200","25,250","25,300","25,100","778.28K","0.20%"
"Oct 06, 2019","25,150","25,150","25,150","25,150","-","0.00%"
"Oct 04, 2019","25,150","25,350","25,500","25,100","862.87K","-0.79%"
"Oct 03, 2019","25,350","25,350","25,350","25,350","-","0.00%"
"Oct 02, 2019","25,350","26,050","26,050","25,350","1.42M","-2.69%"
"Oct 01, 2019","26,050","26,100","26,250","25,850","686.45K","0.58%"
"Sep 30, 2019","25,900","25,750","26,100","25,650","814.23K","0.58%"
"Sep 29, 2019","25,750","25,750","25,750","25,750","-","0.00%"
"Sep 27, 2019","25,750","26,450","26,450","25,650","954.40K","-1.72%"
"Sep 26, 2019","26,200","26,700","26,800","26,050","1.09M","-1.50%"
