"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","199,000","200,000","200,000","196,000","514.88K","-0.50%"
"Oct 31, 2019","200,000","206,500","206,500","200,000","517.89K","-1.96%"
"Oct 30, 2019","204,000","207,000","207,000","202,000","419.04K","-0.73%"
"Oct 29, 2019","205,500","202,000","206,500","202,000","605.76K","2.24%"
"Oct 28, 2019","201,000","198,000","201,000","197,000","392.03K","2.03%"
"Oct 27, 2019","197,000","197,000","197,000","197,000","-","0.00%"
"Oct 25, 2019","197,000","198,500","201,500","195,000","504.72K","0.00%"
"Oct 24, 2019","197,000","193,500","197,000","189,000","898.16K","0.25%"
"Oct 23, 2019","196,500","193,000","202,500","193,000","1.55M","2.61%"
"Oct 22, 2019","191,500","183,500","193,000","182,500","1.07M","5.22%"
"Oct 21, 2019","182,000","181,000","184,500","178,500","378.60K","0.28%"
"Oct 20, 2019","181,500","181,500","181,500","181,500","-","0.00%"
"Oct 18, 2019","181,500","188,000","188,500","181,000","429.13K","-3.46%"
"Oct 17, 2019","188,000","188,500","190,000","186,500","384.19K","0.53%"
"Oct 16, 2019","187,000","186,500","188,000","184,500","432.43K","1.91%"
"Oct 15, 2019","183,500","182,000","184,000","180,500","250.03K","0.55%"
"Oct 14, 2019","182,500","184,000","184,000","180,500","322.33K","0.55%"
"Oct 13, 2019","181,500","181,500","181,500","181,500","-","0.00%"
"Oct 11, 2019","181,500","182,000","185,000","180,000","504.84K","0.28%"
"Oct 10, 2019","181,000","179,000","182,000","177,500","604.36K","0.28%"
"Oct 09, 2019","180,500","180,500","180,500","180,500","-","0.00%"
"Oct 08, 2019","180,500","179,500","182,000","175,500","619.30K","1.12%"
"Oct 07, 2019","178,500","174,000","179,500","173,000","698.94K","3.18%"
"Oct 06, 2019","173,000","173,000","173,000","173,000","-","0.00%"
"Oct 04, 2019","173,000","172,500","174,500","171,000","425.39K","0.29%"
"Oct 03, 2019","172,500","172,500","172,500","172,500","-","0.00%"
"Oct 02, 2019","172,500","172,000","176,500","171,000","610.90K","-0.58%"
"Oct 01, 2019","173,500","169,000","174,500","166,500","1.23M","5.79%"
"Sep 30, 2019","164,000","166,500","167,000","160,500","506.22K","-1.20%"
"Sep 29, 2019","166,000","166,000","166,000","166,000","-","0.00%"
"Sep 27, 2019","166,000","168,500","169,000","165,000","260.98K","-0.60%"
"Sep 26, 2019","167,000","167,500","170,000","165,500","398.75K","0.30%"
"Sep 25, 2019","166,500","168,500","171,000","165,500","578.69K","-1.19%"
"Sep 24, 2019","168,500","168,500","170,500","166,000","820.81K","-1.46%"
"Sep 23, 2019","171,000","176,500","176,500","169,000","875.35K","-2.56%"
"Sep 22, 2019","175,500","175,500","175,500","175,500","-","0.00%"
"Sep 20, 2019","175,500","169,000","176,000","169,000","589.96K","4.15%"
"Sep 19, 2019","168,500","174,500","175,000","167,000","762.65K","-2.88%"
"Sep 18, 2019","173,500","172,500","175,500","172,000","549.55K","1.46%"
"Sep 17, 2019","171,000","170,500","174,500","169,000","727.66K","0.29%"
"Sep 16, 2019","170,500","169,500","171,000","166,500","567.00K","0.89%"
"Sep 15, 2019","169,000","169,000","169,000","169,000","-","0.00%"
"Sep 11, 2019","169,000","166,500","171,000","166,000","990.60K","2.42%"
"Sep 10, 2019","165,000","166,500","168,000","164,500","322.67K","-0.60%"
"Sep 09, 2019","166,000","167,500","167,500","165,000","315.48K","0.30%"
"Sep 06, 2019","165,500","165,000","166,000","162,000","352.05K","0.91%"
"Sep 05, 2019","164,000","169,000","170,000","163,000","641.10K","-2.09%"
"Sep 04, 2019","167,500","160,000","168,000","160,000","801.95K","4.36%"
"Sep 03, 2019","160,500","156,500","163,000","156,500","796.78K","2.56%"
"Sep 02, 2019","156,500","156,000","159,000","152,500","375.37K","-0.32%"
"Sep 01, 2019","157,000","157,000","157,000","157,000","-","0.00%"
"Aug 30, 2019","157,000","160,500","161,000","156,500","495.92K","0.00%"
"Aug 29, 2019","157,000","156,500","161,500","154,500","1.01M","0.64%"
"Aug 28, 2019","156,000","145,000","156,500","144,000","1.10M","7.59%"
"Aug 27, 2019","145,000","145,500","148,000","143,500","730.41K","2.47%"
"Aug 26, 2019","141,500","147,500","149,500","140,500","1.12M","-6.60%"
"Aug 25, 2019","151,500","151,500","151,500","151,500","-","0.00%"
"Aug 23, 2019","151,500","149,500","153,000","149,000","424.85K","-0.66%"
"Aug 22, 2019","152,500","157,000","158,000","152,000","489.94K","-2.56%"
"Aug 21, 2019","156,500","155,000","160,500","154,500","588.66K","0.97%"
