"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20","180.49","196.96","198.86","180.04","-","-8.21%"
"Dec 19","196.64","188.15","198.75","186.96","-","5.32%"
"Nov 19","186.71","186.63","192.64","186.59","-","-0.01%"
"Oct 19","186.73","183.90","188.98","180.69","-","1.84%"
"Sep 19","183.35","178.02","193.10","176.61","-","2.28%"
"Aug 19","179.27","186.46","186.49","175.92","-","-4.42%"
"Jul 19","187.56","191.80","193.90","185.61","-","-1.20%"
"Jun 19","189.83","184.06","192.19","180.11","-","3.42%"
"May 19","183.56","192.28","192.34","183.51","-","-4.63%"
"Apr 19","192.47","192.49","197.88","191.84","-","0.49%"
"Mar 19","191.54","190.41","193.65","186.01","-","0.75%"
"Feb 19","190.12","186.57","192.03","183.22","-","1.92%"
"Jan 19","186.54","175.61","189.09","174.39","-","6.01%"
"Dec 18","175.96","190.46","192.12","174.23","-","-6.37%"
"Nov 18","187.94","196.95","199.94","184.85","-","-4.65%"
"Oct 18","197.10","201.12","207.83","197.05","-","-1.95%"
"Sep 18","201.01","198.74","201.76","194.45","-","1.31%"
"Aug 18","198.41","198.14","200.53","191.83","-","-0.64%"
"Jul 18","199.68","204.55","204.70","194.87","-","-2.75%"
"Jun 18","205.33","207.40","207.60","197.17","-","-1.06%"
"May 18","207.53","205.40","211.63","204.70","-","0.59%"
"Apr 18","206.32","200.31","208.23","194.26","-","3.55%"
"Mar 18","199.25","196.54","201.63","195.75","-","0.87%"
"Feb 18","197.53","200.87","202.18","190.66","-","-1.62%"
"Jan 18","200.78","197.25","204.61","195.60","-","1.94%"
"Dec 17","196.95","193.03","197.13","185.79","-","2.59%"
"Nov 17","191.98","191.40","195.70","190.02","-","0.97%"
"Oct 17","190.14","183.81","190.38","182.64","-","2.53%"
"Sep 17","185.44","182.56","187.26","181.76","-","1.32%"
"Aug 17","183.02","184.41","184.62","176.70","-","-0.89%"
"Jul 17","184.67","176.79","184.72","173.23","-","4.60%"
"Jun 17","176.55","181.76","181.79","168.13","-","-2.70%"
"May 17","181.45","183.26","188.04","178.21","-","-0.99%"
"Apr 17","183.27","187.74","190.04","181.24","-","-2.17%"
"Mar 17","187.34","192.52","192.78","182.91","-","-2.43%"
"Feb 17","192.00","194.18","196.10","190.54","-","-0.69%"
"Jan 17","193.34","194.81","197.66","191.15","-","-0.20%"
"Dec 16","193.73","191.42","196.07","190.59","-","1.73%"
"Nov 16","190.43","188.53","191.12","179.96","-","1.67%"
