DATE,IP2709
2000-01-01,89
2000-02-01,96
2000-03-01,99.4
2000-04-01,88.1
2000-05-01,92.8
2000-06-01,103.6
2000-07-01,101.9
2000-08-01,102.7
2000-09-01,112.2
2000-10-01,108.9
2000-11-01,109.4
2000-12-01,95.8
2001-01-01,88.9
2001-02-01,90.8
2001-03-01,85.9
2001-04-01,84.3
2001-05-01,88.7
2001-06-01,89
2001-07-01,84.6
2001-08-01,86.5
2001-09-01,86
2001-10-01,72.2
2001-11-01,61.9
2001-12-01,59.7
2002-01-01,62.7
2002-02-01,67
2002-03-01,79
2002-04-01,88.5
2002-05-01,91.3
2002-06-01,88.1
2002-07-01,90.8
2002-08-01,95
2002-09-01,99.6
2002-10-01,98.2
2002-11-01,89.5
2002-12-01,95.6
2003-01-01,109.7
2003-02-01,119.6
2003-03-01,115.1
2003-04-01,97.3
2003-05-01,92.8
2003-06-01,98.2
2003-07-01,104.3
2003-08-01,105.4
2003-09-01,98.5
2003-10-01,100.1
2003-11-01,103.2
2003-12-01,107.1
2004-01-01,114.2
2004-02-01,115.2
2004-03-01,120.6
2004-04-01,121.6
2004-05-01,131.1
2004-06-01,128.7
2004-07-01,133.9
2004-08-01,146.5
2004-09-01,151.5
2004-10-01,168
2004-11-01,155.3
2004-12-01,135.7
2005-01-01,141.6
2005-02-01,149.6
2005-03-01,170.7
2005-04-01,174.4
2005-05-01,166.5
2005-06-01,183.8
2005-07-01,199.1
2005-08-01,214.7
2005-09-01,223.1
2005-10-01,211.9
2005-11-01,192.7
2005-12-01,193.1
2006-01-01,207.6
2006-02-01,205.2
2006-03-01,208.4
2006-04-01,232.1
2006-05-01,244.4
2006-06-01,242.9
2006-07-01,253.7
2006-08-01,253.9
2006-09-01,227.6
2006-10-01,203.7
2006-11-01,199.4
2006-12-01,208.2
2007-01-01,192.2
2007-02-01,198.7
2007-03-01,210.4
2007-04-01,226
2007-05-01,232.5
2007-06-01,245.3
2007-07-01,263.2
2007-08-01,263
2007-09-01,270.6
2007-10-01,284.5
2007-11-01,318.1
2007-12-01,314.1
2008-01-01,326.3
2008-02-01,329.4
2008-03-01,361.5
2008-04-01,392.9
2008-05-01,431
2008-06-01,470.5
2008-07-01,488
2008-08-01,440.7
2008-09-01,382.1
2008-10-01,291
2008-11-01,199.6
2008-12-01,152.2
2009-01-01,144
2009-02-01,150
2009-03-01,170
2009-04-01,187.9
2009-05-01,211.4
2009-06-01,246.3
2009-07-01,240.6
2009-08-01,257.1
2009-09-01,256.7
2009-10-01,266
2009-11-01,279.5
2009-12-01,273.5
2010-01-01,282.4
2010-02-01,280.1
2010-03-01,289.4
2010-04-01,301
2010-05-01,282.5
2010-06-01,271.6
2010-07-01,274.8
2010-08-01,279.1
2010-09-01,275.8
2010-10-01,289
2010-11-01,301.5
2010-12-01,319.2
2011-01-01,332.9
2011-02-01,351.6
2011-03-01,385.1
2011-04-01,421.6
2011-05-01,418.1
2011-06-01,408
2011-07-01,404.7
2011-08-01,389.4
2011-09-01,389.3
2011-10-01,389
2011-11-01,405.6
2011-12-01,406.9
2012-01-01,405
2012-02-01,414.4
2012-03-01,431.4
2012-04-01,426.3
2012-05-01,405.3
2012-06-01,369
2012-07-01,355.4
2012-08-01,377.9
2012-09-01,394.9
2012-10-01,394.3
2012-11-01,383.5
2012-12-01,373.9
2013-01-01,382.2
2013-02-01,398.3
2013-03-01,397.2
2013-04-01,385.2
2013-05-01,381.2
2013-06-01,378.4
2013-07-01,390
2013-08-01,401.9
2013-09-01,407.6
2013-10-01,389.6
2013-11-01,368.2
2013-12-01,364.5
2014-01-01,366.2
2014-02-01,385.7
2014-03-01,388.1
2014-04-01,389.4
2014-05-01,394.9
2014-06-01,403.4
2014-07-01,398.2
2014-08-01,381.2
2014-09-01,365.3
2014-10-01,340.7
2014-11-01,306.3
2014-12-01,248.4
2015-01-01,195
2015-02-01,191.7
2015-03-01,192.9
2015-04-01,202.6
2015-05-01,229.8
2015-06-01,236.5
2015-07-01,218.4
2015-08-01,185.6
2015-09-01,167.4
2015-10-01,170
2015-11-01,159.6
2015-12-01,139.8
2016-01-01,116
2016-02-01,107.8
2016-03-01,123.9
2016-04-01,138.7
2016-05-01,159.4
2016-06-01,177.4
2016-07-01,172
2016-08-01,165.2
2016-09-01,164.4
2016-10-01,177.9
2016-11-01,171.4
2016-12-01,185.6
2017-01-01,193.8
2017-02-01,198
2017-03-01,191.5
2017-04-01,190.4
2017-05-01,191
2017-06-01,180.1
2017-07-01,181.7
2017-08-01,188.4
2017-09-01,198.9
2017-10-01,204.9
2017-11-01,224.1
2017-12-01,231.2
2018-01-01,240.8
2018-02-01,234.6
2018-03-01,230.1
2018-04-01,243.3
2018-05-01,264.8
2018-06-01,270
2018-07-01,271.9
2018-08-01,263.4
2018-09-01,263.7
2018-10-01,271
2018-11-01,220.6
2018-12-01,178.2
2019-01-01,200.9
2019-02-01,229.7
2019-03-01,246.2
2019-04-01,259.5
2019-05-01,269.1
2019-06-01,246.3
2019-07-01,244.4
2019-08-01,232.5
2019-09-01,234.4
2019-10-01,226.6
2019-11-01,230.7
2019-12-01,233.3
2020-01-01,232.3
2020-02-01,207.4
2020-03-01,136.1
